id	chr	txStart	txEnd	cdsStart	cdsEnd	strand	txLength	cdsstartrelgene	cdsendrelgene	name	name2	geneSymbol	desc	txcateg	KGcanonicalclusterID	factor_iscoding	meanExp
id_15SrRNA	chrm	8771	10421	8771	10421	+	1650	1	1650	15S_rRNA	15S_RRNA,15S_RRNA_2	15S_rRNA	Ribosomal RNA of the small mitochondrial ribosomal subunit; MSU1 allele suppresses ochre stop mutations in mitochondrial protein-coding genes	ncRNA	clust1	noncoding	27.245625
id_21SrRNA	chrm	77989	82416	77989	82416	+	3284	1	3284	21S_rRNA	21S_RRNA,21S_rRNA_4,21S_rRNA_3	21S_rRNA	Mitochondrial 21S rRNA; intron encodes the I-SceI DNA endonuclease	ncRNA	clust2	noncoding	87.6221875
id_COPYYDRWTy2-2	chr13	320860	320862	320860	320862	+	2	1	2	COPY_YDRWTy2-2	COPY_YDRWTy2-2	COPY_YDRWTy2-2	Long Terminal Repeat (LTR) retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	transposable_element	clust32	noncoding	0
id_COPYYDRWTy2-3	chr15	226927	226929	226927	226929	-	2	1	2	COPY_YDRWTy2-3	COPY_YDRWTy2-3	COPY_YDRWTy2-3	Long Terminal Repeat (LTR) retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	transposable_element	clust33	noncoding	0
id_COPYYFLWTy2-1	chr15	700231	700233	700231	700233	-	2	1	2	COPY_YFLWTy2-1	COPY_YFLWTy2-1	COPY_YFLWTy2-1	Long Terminal Repeat (LTR) retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	transposable_element	clust34	noncoding	0
id_COPYYGRCTy2-1	chr16	575406	579747	575406	579747	-	4341	1	4341	COPY_YGRCTy2-1	COPY_YGRCTy2-1	COPY_YGRCTy2-1	Long Terminal Repeat (LTR) retrotransposon of the Copia (Pseudoviridae) group; contains genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats; mutated in S288C	transposable_element	clust35	noncoding	1.1265625
id_COPYYGRWTy1-1	chr3	313418	314149	313418	314149	+	731	1	731	COPY_YGRWTy1-1	COPY_YGRWTy1-1	COPY_YGRWTy1-1	Long Terminal Repeat (LTR) retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	transposable_element	clust36	noncoding	0.4696875
id_COPYYILWTy3-1	chr16	867671	867673	867671	867673	-	2	1	2	COPY_YILWTy3-1	COPY_YILWTy3-1	COPY_YILWTy3-1	Long Terminal Repeat (LTR) retrotransposon of the Gypsy (Metaviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	transposable_element	clust37	noncoding	0
id_COPYYJLWTy4-1	chr16	575108	575203	575108	575203	+	95	1	95	COPY_YJLWTy4-1	COPY_YJLWTy4-1	COPY_YJLWTy4-1	Long Terminal Repeat (LTR) retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	transposable_element	clust38	noncoding	0.3953125
id_COPYYLRWTy1-3	chr4	1172796	1173135	1172796	1173135	+	339	1	339	COPY_YLRWTy1-3	COPY_YLRWTy1-3	COPY_YLRWTy1-3	Long Terminal Repeat (LTR) retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	transposable_element	clust39	noncoding	117.0365625
id_COPYYOLWTy1-1	chr15	275462	275465	275462	275465	+	3	1	3	COPY_YOLWTy1-1	COPY_YOLWTy1-1	COPY_YOLWTy1-1	Long Terminal Repeat (LTR) retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	transposable_element	clust40	noncoding	0
id_COPYYORCTy2-1	chr16	791977	791980	791977	791980	-	3	1	3	COPY_YORCTy2-1	COPY_YORCTy2-1	COPY_YORCTy2-1	Long Terminal Repeat (LTR) retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	transposable_element	clust41	noncoding	0
id_COPYYORWTy1-2	chr16	702423	702425	702423	702425	-	2	1	2	COPY_YORWTy1-2	COPY_YORWTy1-2	COPY_YORWTy1-2	Long Terminal Repeat (LTR) retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	transposable_element	clust42	noncoding	0
id_COPYYORWTy2-2	chr16	829780	829782	829780	829782	+	2	1	2	COPY_YORWTy2-2	COPY_YORWTy2-2	COPY_YORWTy2-2	Long Terminal Repeat (LTR) retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	transposable_element	clust43	noncoding	0
id_COPYYPLWTy1-1	chr10	100305	101260	100305	101260	+	955	1	955	COPY_YPLWTy1-1	COPY_YPLWTy1-1	COPY_YPLWTy1-1	Long Terminal Repeat (LTR) retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	transposable_element	clust44	noncoding	125.110625
id_COPYYPRCTy1-4	chr16	218703	220041	218703	220041	-	1338	1	1338	COPY_YPRCTy1-4	COPY_YPRCTy1-4	COPY_YPRCTy1-4	Long Terminal Repeat (LTR) retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	transposable_element	clust45	noncoding	37.7415625
id_COPYYPRWTy1-3	chr16	574219	574221	574219	574221	+	2	1	2	COPY_YPRWTy1-3	COPY_YPRWTy1-3	COPY_YPRWTy1-3	Long Terminal Repeat (LTR) retrotransposon of the Copia (Pseudoviridae) group; contains co-transcribed genes TYA Gag and TYB Pol, encoding proteins involved in structure and function of virus-like particles, flanked by two direct repeats	transposable_element	clust46	noncoding	0
id_ETS1-1	chr12	456468	457161	456468	457161	-	693	1	693	ETS1-1	ETS1-1,5'%20ETS	ETS1-1	Non-coding region located immediately upstream of RDN18, that is transcribed as part of the 35S rRNA precursor transcript; contains an essential U3 snoRNA binding site required for maturation of 18S rRNA	rRNA	clust61	noncoding	39.8196875
id_ETS1-2	chr12	465548	466241	465548	466241	-	693	1	693	ETS1-2	ETS1-2,5'%20ETS	ETS1-2	Non-coding region located immediately upstream of RDN18, transcribed as part of the 35S rRNA precursor transcript; contains an essential U3 snoRNA binding site required for maturation of 18S rRNA	rRNA	clust62	noncoding	39.8196875
id_ETS2-1	chr12	450312	450524	450312	450524	-	212	1	212	ETS2-1	ETS2-1,3'%20ETS	ETS2-1	Non-coding region located adjacent to and downstream of RDN25, transcribed as part of the 35S rRNA precursor transcript; contains the primary rRNA transcription termination site at %2B93 and a secondary termination site between %2B211 and %2B250	rRNA	clust63	noncoding	0.0040625
id_ETS2-2	chr12	459391	459602	459391	459602	-	211	1	211	ETS2-2	ETS2-2,3'%20ETS	ETS2-2	Non-coding region located adjacent to and downstream of RDN25, transcribed as part of the 35S rRNA precursor transcript; contains the primary rRNA transcription termination site at %2B93 and a secondary termination site between %2B211 and %2B250; Non-coding region located adjacent to and downstream of RDN25, transcribed as part of the 35S rRNA precursor transcript; excision during transcript maturation is coupled with processing of ITS1 (internal transcribed spacer 1)	rRNA	clust64	noncoding	1.22875
id_HRA1	chr1	108351	108915	108351	108915	+	564	1	564	HRA1	HRA1	HRA1	Non-protein-coding RNA, substrate of RNase P, possibly involved in rRNA processing, specifically maturation of 20S precursor into the mature 18S rRNA	ncRNA	clust75	noncoding	0.4578125
id_ITS1-1	chr12	454272	454668	454272	454668	-	396	1	396	ITS1-1	ITS1-1,ITS1	ITS1-1	Non-coding region between RDN58 and RDN18, that is transcribed as part of the 35S rRNA precursor transcript; excision during transcript maturation is coupled with processing of the 3' external transcribed spacer (3'ETS)	rRNA	clust80	noncoding	8.5884375
id_ITS1-2	chr12	463387	463748	463387	463748	-	361	1	361	ITS1-2	ITS1-2,ITS1	ITS1-2	Non-coding region between RDN58 and RDN18, transcribed as part of the 35S rRNA precursor transcript; excision during transcript maturation is coupled with processing of the 3' external transcribed spacer (3' ETS)	rRNA	clust81	noncoding	20.761875
id_ITS2-1	chr12	453919	454150	453919	454150	-	231	1	231	ITS2-1	ITS2-1,ITS2	ITS2-1	Non-coding region between RDN58 and RDN25, that is transcribed as part of the 35S rRNA precursor transcript; forms a stem-loop structure that is required for processing of the precursor transcript	rRNA	clust82	noncoding	0.1103125
id_ITS2-2	chr12	462998	463229	462998	463229	-	231	1	231	ITS2-2	ITS2-2,ITS2	ITS2-2	Non-coding region between RDN58 and RDN25, transcribed as part of the 35S rRNA precursor transcript; forms a stem-loop structure required for processing of the precursor transcript	rRNA	clust83	noncoding	0.1103125
